epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,34.5385,1.30055,1.675,1.57623,0.48763,0.69802,0.55649,0.26191,1.64746,2.51744,2.21948,0.00065,0.00065,0.00065
2,67.8101,1.28403,1.1547,1.50695,0.61098,0.40099,0.44422,0.1898,2.26857,3.54942,3.1039,0.0012906,0.0012906,0.0012906
3,99.7491,1.36681,1.20778,1.56922,0.07076,0.19802,0.03634,0.00659,3.41783,5.04259,3.62357,0.00190479,0.00190479,0.00190479
4,131.306,1.32906,1.15128,1.53735,0.09828,0.26733,0.04876,0.01576,2.77885,6.17201,3.2158,0.0018812,0.0018812,0.0018812
5,162.776,1.27957,1.09774,1.5073,0.42036,0.45545,0.29557,0.1273,2.18576,3.08886,2.49836,0.0018416,0.0018416,0.0018416
6,196.404,1.24503,1.09856,1.49077,0.38468,0.73762,0.54189,0.34353,1.55623,2.19999,2.0339,0.001802,0.001802,0.001802
7,228.713,1.19752,0.99935,1.46785,0.59872,0.73267,0.72319,0.51012,1.35279,1.23731,1.84692,0.0017624,0.0017624,0.0017624
8,260.63,1.21421,0.99317,1.46064,0.79069,0.73267,0.84667,0.56046,1.35923,1.32443,1.89743,0.0017228,0.0017228,0.0017228
9,292.093,1.15095,0.90676,1.4132,0.86349,0.71782,0.82775,0.5841,1.2892,1.09086,1.68575,0.0016832,0.0016832,0.0016832
10,325.323,1.14797,0.93872,1.43238,0.86916,0.72346,0.81622,0.54592,1.29557,1.07733,1.81871,0.0016436,0.0016436,0.0016436
11,357.159,1.11246,0.90691,1.39157,0.86871,0.79208,0.87315,0.58729,1.28566,0.94045,1.66479,0.001604,0.001604,0.001604
12,388.676,1.11636,0.89516,1.40244,0.93359,0.83517,0.88469,0.62938,1.15507,0.78639,1.59141,0.0015644,0.0015644,0.0015644
13,422.77,1.07139,0.84427,1.3782,0.89625,0.85532,0.89119,0.645,1.15203,0.78601,1.6506,0.0015248,0.0015248,0.0015248
14,455.27,1.06729,0.81765,1.3509,0.80925,0.76733,0.81061,0.55211,1.30728,1.01863,1.78268,0.0014852,0.0014852,0.0014852
15,487.478,1.06477,0.83624,1.36833,0.82427,0.80198,0.86462,0.61617,1.16621,0.93302,1.64486,0.0014456,0.0014456,0.0014456
16,520.813,1.04823,0.81157,1.35039,0.90605,0.82673,0.92965,0.64672,1.17764,0.80487,1.71713,0.001406,0.001406,0.001406
17,554.181,1.01051,0.79862,1.33212,0.86314,0.86634,0.91661,0.6438,1.11241,0.72838,1.60366,0.0013664,0.0013664,0.0013664
18,587.423,1.01343,0.7913,1.32229,0.91632,0.86738,0.95342,0.70836,1.07811,0.74411,1.46283,0.0013268,0.0013268,0.0013268
19,619.333,1.0036,0.74142,1.32331,0.85803,0.84158,0.9149,0.68509,1.07778,0.69315,1.514,0.0012872,0.0012872,0.0012872
20,652.532,0.96806,0.74943,1.29655,0.93494,0.85372,0.91534,0.68629,1.04385,0.71718,1.60446,0.0012476,0.0012476,0.0012476
21,686.21,0.96291,0.73779,1.2955,0.92899,0.87624,0.9252,0.7112,0.97122,0.68402,1.47507,0.001208,0.001208,0.001208
22,718.058,0.96057,0.74362,1.29665,0.96004,0.83264,0.91678,0.69956,0.9844,0.59911,1.47932,0.0011684,0.0011684,0.0011684
23,751.667,0.93256,0.67507,1.27649,0.87919,0.87624,0.92237,0.70848,0.95034,0.66735,1.39839,0.0011288,0.0011288,0.0011288
24,785.038,0.91442,0.70717,1.27217,0.94893,0.87129,0.94923,0.72176,0.93308,0.61428,1.39579,0.0010892,0.0010892,0.0010892
25,817.47,0.92012,0.70741,1.26418,0.94206,0.88538,0.92538,0.71871,0.96032,0.54087,1.42703,0.0010496,0.0010496,0.0010496
26,851.939,0.93161,0.69247,1.27693,0.89296,0.86729,0.92152,0.7217,0.97971,0.61606,1.44689,0.00101,0.00101,0.00101
27,884.679,0.87587,0.67754,1.23101,0.96271,0.86139,0.94642,0.73532,0.91335,0.54655,1.39513,0.0009704,0.0009704,0.0009704
28,916.94,0.88798,0.66554,1.25663,0.93263,0.89085,0.93855,0.73265,0.9522,0.54038,1.43246,0.0009308,0.0009308,0.0009308
29,950.237,0.86365,0.65339,1.22808,0.96148,0.86504,0.93487,0.74384,0.86743,0.59447,1.3252,0.0008912,0.0008912,0.0008912
30,982.77,0.86305,0.64583,1.23962,0.96048,0.88614,0.94175,0.73054,0.97988,0.5769,1.42251,0.0008516,0.0008516,0.0008516
31,1014.64,0.83279,0.62991,1.20166,0.92868,0.88614,0.94837,0.72361,0.97787,0.61685,1.41184,0.000812,0.000812,0.000812
32,1048.5,0.85264,0.66465,1.22195,0.95158,0.89109,0.94968,0.75219,0.86679,0.5004,1.34483,0.0007724,0.0007724,0.0007724
33,1080.19,0.82462,0.60271,1.20695,0.93793,0.89109,0.94793,0.75141,0.88578,0.53957,1.33772,0.0007328,0.0007328,0.0007328
34,1111.62,0.82243,0.63277,1.21182,0.9425,0.89256,0.94394,0.75133,0.8817,0.5792,1.31687,0.0006932,0.0006932,0.0006932
35,1144.4,0.80925,0.62379,1.19702,0.95292,0.90177,0.96025,0.76381,0.83781,0.50203,1.31832,0.0006536,0.0006536,0.0006536
36,1175.99,0.78723,0.6019,1.18634,0.94431,0.89109,0.94538,0.76577,0.79379,0.50271,1.26654,0.000614,0.000614,0.000614
37,1208.62,0.79633,0.60481,1.17652,0.94296,0.90029,0.94891,0.75634,0.87621,0.48702,1.34025,0.0005744,0.0005744,0.0005744
38,1240.96,0.76787,0.57294,1.16188,0.95314,0.90629,0.95189,0.765,0.8205,0.48479,1.29925,0.0005348,0.0005348,0.0005348
39,1273.31,0.77358,0.56126,1.18027,0.95303,0.90395,0.94596,0.77794,0.78725,0.47803,1.27011,0.0004952,0.0004952,0.0004952
40,1304.95,0.77392,0.58791,1.16921,0.92829,0.93069,0.95692,0.77853,0.81903,0.484,1.29296,0.0004556,0.0004556,0.0004556
41,1341.34,0.75555,0.61171,1.26487,0.94368,0.91239,0.95689,0.76863,0.83023,0.51625,1.29247,0.000416,0.000416,0.000416
42,1372.74,0.71737,0.55103,1.22449,0.94768,0.91584,0.95365,0.76021,0.83592,0.52405,1.32678,0.0003764,0.0003764,0.0003764
43,1404.15,0.70007,0.50971,1.20097,0.92914,0.91584,0.94924,0.77283,0.8023,0.50793,1.30138,0.0003368,0.0003368,0.0003368
44,1436.51,0.69214,0.49534,1.2054,0.90209,0.93069,0.95316,0.77227,0.85301,0.50079,1.34157,0.0002972,0.0002972,0.0002972
45,1469.21,0.67693,0.48338,1.1924,0.93929,0.90099,0.94632,0.77336,0.81061,0.47419,1.2868,0.0002576,0.0002576,0.0002576
46,1500.68,0.65837,0.46985,1.16875,0.95251,0.89362,0.94555,0.77917,0.75484,0.47851,1.25693,0.000218,0.000218,0.000218
47,1532.64,0.63959,0.47587,1.17645,0.93914,0.90594,0.95513,0.78856,0.74939,0.46375,1.26462,0.0001784,0.0001784,0.0001784
48,1565.56,0.61485,0.45957,1.15228,0.94602,0.90099,0.95545,0.78965,0.74431,0.44724,1.25302,0.0001388,0.0001388,0.0001388
49,1597.41,0.61023,0.46286,1.15108,0.92058,0.9181,0.95733,0.78363,0.72459,0.44758,1.23056,9.92e-05,9.92e-05,9.92e-05
50,1628.8,0.6012,0.45602,1.14893,0.92077,0.92574,0.95872,0.79273,0.71165,0.44885,1.23069,5.96e-05,5.96e-05,5.96e-05
